"Mars Needs Cunnilingus";18;False;False;0;1;1;1
32;2;2;9;25;9;0
33;157;83;12;25;15;0
34;146;83;9;25;12;0
35;129;83;15;25;18;0
36;112;83;15;25;18;0
37;98;83;12;25;15;0
38;81;83;15;25;18;0
39;76;83;3;25;6;0
40;65;83;9;25;12;0
41;54;83;9;25;12;0
42;171;83;15;25;18;0
43;37;83;15;25;18;0
44;15;83;6;25;9;0
45;7;83;6;25;9;0
46;2;83;3;25;6;0
47;240;56;12;25;15;0
48;226;56;12;25;15;0
49;215;56;9;25;15;0
50;201;56;12;25;15;0
51;187;56;12;25;15;0
52;173;56;12;25;15;0
53;23;83;12;25;15;0
54;188;83;12;25;15;0
55;202;83;12;25;15;0
56;216;83;12;25;15;0
57;2;137;12;25;15;0
58;242;110;3;25;6;0
59;237;110;3;25;6;0
60;226;110;9;25;12;0
61;212;110;12;25;15;0
62;201;110;9;25;12;0
63;187;110;12;25;15;0
64;170;110;15;25;18;0
65;156;110;12;25;15;0
66;142;110;12;25;15;0
67;128;110;12;25;15;0
68;114;110;12;25;15;0
69;100;110;12;25;15;0
70;86;110;12;25;15;0
71;72;110;12;25;15;0
72;58;110;12;25;15;0
73;44;110;12;25;15;0
74;30;110;12;25;15;0
75;16;110;12;25;15;0
76;2;110;12;25;15;0
77;230;83;15;25;18;0
78;159;56;12;25;15;0
79;145;56;12;25;15;0
80;131;56;12;25;15;0
81;55;29;12;25;15;0
82;30;29;12;25;15;0
83;16;29;12;25;15;0
84;2;29;12;25;15;0
85;231;2;12;25;15;0
86;217;2;12;25;15;0
87;200;2;15;25;18;0
88;186;2;12;25;15;0
89;172;2;12;25;15;0
90;158;2;12;25;15;0
91;44;29;9;25;12;0
92;144;2;12;25;15;0
93;119;2;9;25;12;0
94;102;2;15;25;18;0
95;88;2;12;25;15;0
96;83;2;3;25;6;0
97;69;2;12;25;15;0
98;55;2;12;25;15;0
99;41;2;12;25;15;0
100;27;2;12;25;15;0
101;13;2;12;25;15;0
102;130;2;12;25;15;0
103;69;29;12;25;15;0
104;211;29;12;25;15;0
105;83;29;12;25;15;0
106;103;56;12;25;15;0
107;89;56;12;25;15;0
108;75;56;12;25;15;0
109;58;56;15;25;18;0
110;44;56;12;25;15;0
111;30;56;12;25;15;0
112;16;56;12;25;15;0
113;2;56;12;25;15;0
114;239;29;12;25;15;0
115;117;56;12;25;15;0
116;225;29;12;25;15;0
117;197;29;12;25;15;0
118;183;29;12;25;15;0
119;166;29;15;25;18;0
120;152;29;12;25;15;0
121;138;29;12;25;15;0
122;124;29;12;25;15;0
123;113;29;9;25;12;0
124;108;29;3;25;6;0
125;97;29;9;25;12;0
126;16;137;12;25;15;0
9647;30;137;15;25;23;4
